StoneAge Beijing-Waei 2.5 official download-page probe — R1
SCOPE|grounded-official-stoneage-prefix|2002-01-01..2002-03-15|Wayback-CDX+bounded-HTML-replay|no-binary-payload
TARGET|prefix=http://www.waei.com.cn/zhuanqu/stoneage/|from=20020101|to=20020315|max_replays=300
CDX|status=200|bytes=278146|sha256=22f92af90ed3d9b448a43f46fce16acd3b47a7c97a0a69d4f9c7ac22bdcf0edd|rows=1846|html_rows=509|final=https://web.archive.org/cdx/search/cdx?url=http%3A%2F%2Fwww.waei.com.cn%2Fzhuanqu%2Fstoneage%2F&matchType=prefix&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype%2Cdigest%2Clength&from=20020101&to=20020315&filter=statuscode%3A200&collapse=urlkey&limit=5000
URL_HINT|score=1|timestamp=20020203190814|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/kldxz_s.GIF|mimetype=image/gif|digest=GXC6EI5JEBB7NHYFKGGZEYLXJMWC5SVA|length=41997
URL_HINT|score=1|timestamp=20020203191742|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/LV8.GIF|mimetype=image/gif|digest=DY3SBJ3Q2T53MNQLANTG3QCXRMYYBXGV|length=95160
URL_HINT|score=1|timestamp=20020203191906|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/img/yuelianggai/LV8_s.GIF|mimetype=image/gif|digest=WWBV3DG2T2ZCYDFBMXX5TEMT6NWIYH4R|length=64724
URL_HINT|score=1|timestamp=20020203161833|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/jl_038.asp|mimetype=text/html|digest=IILWTBZABVCEYTQ4NJENMEAZ72QSGCTJ|length=3163
URL_HINT|score=1|timestamp=20020203160815|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/jl_aqiang.asp|mimetype=text/html|digest=SCUUKU2GH2F6CHQELCEC3B26ZY4BAG2G|length=3229
URL_HINT|score=1|timestamp=20020203164048|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/jl_ser1xueer.asp|mimetype=text/html|digest=FI5M4H34NK4HDAB3VTQREKCG2KKHLPUG|length=3221
URL_HINT|score=1|timestamp=20020203155831|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/jl_ser6no1.asp|mimetype=text/html|digest=FP67DKDIN27TRDH7LU4MYM4AZUCOVTP5|length=5618
URL_HINT|score=1|timestamp=20020203155210|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/jl_yuelianggai.asp|mimetype=text/html|digest=TIEE5JTNEPYTFLLQBH7WBJFE6GZ64CCB|length=3285
URL_HINT|score=1|timestamp=20020207182928|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/list_100.asp|mimetype=text/html|digest=HKUTFIPSWL6I5YWTS7QMFBXZPKDHERE5|length=3758
URL_HINT|score=1|timestamp=20020208000559|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/server1_b/2.asp|mimetype=text/html|digest=BR2OTBCPJHCWUBLZH5X7QXIPB2SSTEJE|length=3205
URL_HINT|score=1|timestamp=20020207233836|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/server1_b/3.asp|mimetype=text/html|digest=47OXEBZXK4VAACDI3RULU45TRVWY44CA|length=3190
URL_HINT|score=1|timestamp=20020212022821|original=http://www.waei.com.cn:80/zhuanqu/stoneage/active/mammoth/server1_b/4.asp|mimetype=text/html|digest=TRJLMDJYFTJKBVG2RYJBS55TEDQSKKRY|length=3171
